nama_makanan,air,energi,protein,lemak,karbo,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,bdd,kategori,jenis_bahan,id_resep,bahan_bahan,langkah
"Ketan hitam, matang",56.9,181,4.0,1.2,37.3,0.3,0.6,9,144,1.7,9,18.4,0.10,0.7,0,0,0,0.06,0.00,0.5,0,100,serealia,olahan,,,
"Ketan hitam, tapai",50.2,166,3.8,1.0,34.4,0.3,0.6,8.0,106,1.6,5,12.0,,,,,0,0.02,,,0,100,serealia,olahan,,,
"Ketan putih, matang",60.7,163,3.0,0.4,35.7,0.2,0.2,4,55,0.7,8,16.8,0.10,0.7,0,0,0,0.07,0.00,0.5,0,100,serealia,olahan,,,
"Ketan putih, tapai",58.9,172,3.0,0.5,37.5,0.6,0.1,6,35,0.5,1,,,,0,0,0,0.04,0.00,0.2,0,100,serealia,olahan,,,
"Maizena, tepung",14.0,341,0.3,0.0,85.0,7.0,0.7,20,30,1.5,6,9.0,0.22,1.6,0,0,0,0.00,0.09,1.3,0,100,serealia,olahan,,,
"Makaroni, mentah",11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5,0.0,0.28,1.4,,,0,0.10,0.13,2.2,0,100,serealia,olahan,,,
Mi basah,80.0,88,0.6,3.3,14.0,0.1,2.1,14,13,6.8,63,13.5,0.06,0.4,,0,,0.00,0.00,0.0,0,100,serealia,olahan,,,
Mi kering,10.6,339,10.0,1.7,6.3,0.4,1.4,31,143,3.9,760,83.0,0.29,1.9,,,0,0.00,0.08,2.2,0,100,serealia,olahan,,,
Misoa,10.0,345,8.5,2.2,78.0,0.5,1.3,52,120,8.7,3064,44.0,0.08,0.0,0,0,0,0.00,0.02,0.2,0,100,serealia,olahan,,,
Roti putih,40.0,248,8.0,1.2,50.0,9.1,0.8,10,95,1.5,530,91.0,0.15,0.9,0,0,0,0.10,0.29,2.4,0,100,serealia,olahan,,,
Tepung terigu,11.8,333,9.0,1.0,77.2,0.3,1.0,22,150,1.3,2,0.0,0.00,2.8,0,0,0,0.10,0.07,1.0,0,100,serealia,olahan,,,
Amparan tatak,58.4,191,1.3,5.5,34.0,,0.8,,,,,,,,,,,,,,-,100,serealia,olahan,2,,
"Apang kukus, kue",49.5,202,3.0,0.3,46.7,,0.5,,,,,,,,,,,,,,-,100,serealia,olahan,3,"Bahan A:
30 gr tepung beras
250 ml santan kental
25 gr gula pasir
1/2 sdt garam
Bahan B:
6 buah pisang raja, potong-potong tipis
100 gr tepung beras
300 ml santan
50 gr gula pasir
1/2 sdt vanili bubuk
1/4 sdt garam
2 lembar daun pandan","Buat dulu lapisan bawahnya dulu dengan bahan B. Masak dulu santan hingga panas, masukkan gula, garam dan daun pandan yang sudah diremas dan ikat simpul. Aduk terus hingga larut. Angkat.
Campurkan tepung beras dan vanili dalam wadah tahan panas. Tuang santan sambil disaring ke dalam tepung, aduk rata hingga lembut dan halus tidak bergerindil.
Panaskan kukusan. Siapkan loyang, olesi dengan minyak goreng. Tuang adonan ke dalam loyang, sisakan 1/3 adonan. Tutup dan kukus selama 15 menit.
Campurkan 1/3 adonan dengan potongan pisang raja. Setelah pengukusan 15 menit, buka dan tuang adonan pisang. Tutup kembali dan kukus lagi selama 15 menit.
Selagi menunggu adonan kukus, buat lapisan atasnya dengan bahan A.
Campurkan semua bahan, aduk rata hingga tidak ada yang bergerindil. Saring ke dalam panci, nyalakan api. Masak hingga meletup-letup dan tidak ada yang bergerindil. Matikan api.
Tuang adonan ke atas lapisan pisang setelah matang, kembali kukus lagi selama 15 menit. Setelah padat matang, matikan api, keluarkan dari kukusan dan biarkan dingin.
Keluarkan dari cetakan dan potong-potong."
"Apem, kue",63.1,148,2.0,0.5,33.9,,0.5,,,,,,,,,,,,,,-,100,serealia,olahan,4,"200 gr tepung beras.
50 ml tepung terigu.
150 gr gula pasir.
400 ml santan yang sudah didihkan terlebi hdahulu.
1 sdm fermipan.
1/2 sdt baking powder.
1/4 sdt garam.
Pasta pandan secukupnya.","Masukan tepung tambahkan, ragi, gula, garam, pewarna dan baking powder aduk rata.
Tambahkan santan aduk rata saring.
Diamkan adinan selama 30 menit.
Didihkan kukusan alas serbet penutup panci oles cetakan dengan sedikit minyak.
Stelah 30 menit tuang adonan pada cetakan kukukus 15 menit."
Biskuit,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,241,20.3,0.16,0.6,0,14,,0.09,0.15,1.4,0,100,serealia,olahan,,"½ sendok teh garam
2 lembar daun pandan, simpulkan
225 gram tepung beras
250 ml santan dari ½ butir kelapa
100 gram tepung terigu
6 gram ragi instan","1. Didihkan air kelapa, masukkan gula merah, garam, dan daun pandan. Angkat, saring, dan dinginkan.
2. Tuang rebusan air kelapa ke dalam tepung beras, aduk dengan tangan hingga tercampur rata, dinginkan.
3. Masukkan santan, tepung terigu, ragi instan, bumbu spekuk, dan baking powder, uleni sambil diaduk-aduk selama 15 menit.
4. Diamkan adonan selama 40 menit atau hingga adonan mengembang.
5. Siapkan loyang cetakan, olesi minyak goreng. Panaskan cetakan dalam kukusan selama 5 menit.
6. Tuang adonan ke dalam cetakan, lalu kukus selama 30 menit atau hingga kue matang.
7. Potong sesuai selera, hidangkan dengan taburan parutan kelapa."
"Bakpia, kue",38.9,272,8.7,6.7,44.1,0.9,1.6,194,117,4.5,-,-,-,-,-,-,1392,0.31,1.00,2.9,0,100,serealia,olahan,,,
Bakwan,40.5,280,8.2,10.2,39.0,3.4,2.1,204,79,7.0,-,-,-,-,0,-,0,0.08,-,-,0,100,serealia,olahan,5,,
Bantal,52.3,190,3.3,0.3,43.5,3.4,0.6,9,0,0.4,164,84.0,0.20,0.9,-,-,-,0.27,0.02,3.6,-,100,serealia,olahan,6,"- 60 gr Wortel
- 3 gr Seledri
- 7 gr Daun Bawang 20 gr Kol
- 1 bks Sajiku® Tepung Bumbu Bakwan Crispy
- 700 ml Minyak Goreng
- 130 ml Air","Potong wortel bentuk korek api, iris daun bawang, kol, seledri.
Campurkan Sajiku Tepung Bumbu Bakawan Crispy dengan air, aduk rata.
Masukkan wortel, kol, daun bawang, seledri, aduk rata.
Panaskan minyak goreng, masukkan adonan dengan sendok, goreng hingga matang dan berwarna kuning keemasan."
Baruasa,5.3,417,6.5,8.2,79.3,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,7,"Bahan Biang

1 sdt ragi instan
100 ml air hangat
2 sdm gula pasir
Bahan Roti

250 gram tepung terigu
1 butir telur
1/4 sdt vanili bubuk
1 sdm margarin
40 ml kental manis
Bahan Taburan

biji wijen dan gula pasir secukupnya","1. Campur semua bahan biang. Diamkan sekitar 10 menit sampai berbuih.

2. Campur semua bahan roti. Masukkan bahan biang sedikit demi sedikit sambil uleni hingga kalis.

3. Siapkan wadah yang sudah diolesi minyak. Taruh adonan dan diamkan sampai mengembang.

4. Setelah adonan mengembang, tinju adonan hingga mengempis.

5. Potong adonan kotak-kotak. Diamkan sekitar 15 menit. Olesi permukaan adonan dengan air, taburi dengan biji wijen dan gula pasir.

6. Panaskan minyak goreng. Goreng roti dengan api sedang sampai kecokelatan. Angkat dan tiriskan."
Batar daan,75.3,107,2.2,2.2,19.6,-,0.7,20.0,30.0,0.6,"200.
0",90.0,0.10,-,-,-,-,0.18,0.02,-,-,100,serealia,olahan,8,"Hasil:
1 toples @500 gram
Tepung beras - 250 gram
Kelapa parut - 100 gram
Telur - 2 butir
Margarin - 50 gram
Gula pasir butiran halus - 100 gram
Gula merah, sisir halus - 50 gram
Baking powder - 1/2 sdt
Baking soda - 1/2 sdt
Daun pandan - 1 lembar
","1. Sangrai tepung beras dengan 1 lembar daun pandan sampai tepung terasa ringan, angkat dan dinginkan. Buang daun pandannya.
2. Sangrai kelapa parut sampai kering dan berwarna kecoklatan, kemudian tumbuk halus atau haluskan dengan chopper.
3. Campur tepung beras yang sudah disangrai, kelapa parut, baking powder, baking soda, aduk rata. Sisihkan.
4. Dalam wadah campur margarin, gula pasir dan gula merah, kocok menggunakan mixer sampai tercampur rata. Masukkan telur satu per satu, kocok sampai sedikit mengembang dan mengental.
5. Tambahkan campuran tepung ke dalam kocokan telur dan gula, aduk rata menggunakan spatula sampai tekstur adonan bisa dipulung.
6. Ambil satu sendok teh adonan, kemudian bulatkan. Tata dengan diberi jarak di atas loyang yang sudah dialasi kertas roti dan dioles margarin tipis.
7. Panggang dengan suhu 160°C sampai matang selama 30 menit.
8. Setelah matang dinginkan dan simpan di toples kedap udara."
Bika ambon,51.5,199,2.1,1.5,44.4,0.3,0.6,45,28,1.8,-,-,-,-,0,-,408,0.10,-,0.0,0,100,serealia,olahan,9,"Hasil: 4 porsi
1 bawang bombay besar, potong dadu
5 siung bawang putih, cincang
3 sdm minyak zaitun perdagangan adil
3 gelas air
1 buah labu siam, potong kecil-kecil
1 10-oz. kantong jagung beku
1 15-oz. kaleng kacang merah, tiriskan
Garam dan merica secukupnya
2 cangkir nasi matang","Tumis bawang bombay dan bawang putih dengan minyak zaitun dengan api sedang hingga layu. Tambahkan air dan labu siam, masak hingga air mendidih. Tambahkan jagung dan kacang merah, kecilkan api menjadi sedang, dan masak sambil sesekali diaduk selama 15 hingga 20 menit sampai labu empuk. Tambahkan garam dan merica sesuai selera. Sajikan dengan nasi."
Bingka,44.4,273,5.3,10.6,39.1,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,10,"Hasil: 16 porsi
250 ml santan kental
½ sdt garam
1 sdt kunyit bubuk
2 lembar daun pandan
2 batang serai, memarkan
12 lembar daun jeruk
4 butir telur
200 g gula halus
200 g tepung terigu
150 g tepung tapioka
2 sdm margarin, cairkan
Biang:
2 sdt ragi instan
4 sdm gula pasir
150 ml santan cair hangat","Biang: Dalam wadah, aduk rata bahan biang. Diamkan hingga berbusa, sisihkan.

Panaskan santan dan garam. Masukkan kunyit bubuk, daun pandan, serai dan daun jeruk. Masak hingga mendidih, angkat dan saring. sisihkan.

Kocok telur hingga berbusa. Tambahkan gula halus dan santan yang sudah direbus. Masukkan tepung terigu dan tepung tapioka, aduk rata. Masukkan margarin, aduk rata. Diamkan adonan selama 1 jam.

Panaskan dandang dan bungkus tutupnya dengan kain atau serbet bersih.

Tuang ke dalam loyang persegi 20 cm yang sudah dioles margarin dan dialas baking paper.

Masukkan ke dalam dandang dan kukus di atas api besar selama 25-30 menit sampai matang.

Keluarkan dari dandang dan biarkan dingin. Potong-potong, sajikan."
Bobengka,46.3,225,5.3,2.6,45.2,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,11,"Hasil: 9 Porsi
Kentang, kukus lalu haluskan - 300 gram
Terigu protein sedang - 150 gram
Telur - 4 butir
Gula pasir - 200 gram
Margarin cair, dinginkan - 100 ml
Garam - sejumput
Wijen, sangrai - secukupnya
Santan kental - 300 ml
Daun pandan - 5 lembar
Daun suji - 10 lembar
","1. Campur santan kental, daun pandan, dan daun suji, lalu blender jadi satu. Saring dan sisihkan.
2. Dalam satu wadah, campur kentang, tepung terigu, telur, gula, garam, dan campuran santan. Aduk rata menggunakan whisker atau bisa menggunakan blender.
3. Masukkan margarin cair, aduk rata.
4. Oles tipis loyang bingka dengan margarin. Panaskan di atas kompor menggunakan api kecil.
5. Setelah loyang benar-benar panas, tuang adonan. Taburi wijen. Tutup cetakan.
6. Masak hingga matang dan permukaan kue bingka mengering, selama sekitar 30-40 menit.
7. Angkat loyang. Dinginkan dengan cara diangin-anginkan di atas rak kawat. Setelah dingin, keluarkan kue dari loyang lalu potong sesuai selera.
8. Siap disajikan."
Bolu peca,55.6,197,3.3,4.6,35.6,-,0.9,-,0,0.0,0,0.0,-,-,-,-,-,-,0.00,0.0,0,100,serealia,olahan,12,"Hasil: 1 loyang
250 gr tepung terigu protein sedang
200 gr gula merah iris halus
2 sdm gula pasir
1/2 sdm ragi instan
250 ml santan kelapa
2 butir telor ayam
100 gr parut kelapa
50 gr kacang cincang
1/2 sdt garam","Siapkan alat dan bahan.
Didihkan santan dalam panci beserta gula merah. Saring, masukan fermipam, gula pasir, aduk rata.
Sediakan wadah kecil, pecah telor aduk hingga berbuih. Tuang kedalam adonan, uleni hingga Kalis. Diemin adonan setengah jam ato sampe adonan mengembang.
Tambahkan parut kelapa, aduk merata. Tuang ke loyang, yang sebelumnya sudah diberi alas kertas dan mentega. Masukkan kedalam oven dengan suhu 180°C.
Angkat."
Brem,37.4,249,3.4,0.4,58.0,0.0,0.9,198,86,2.0,-,-,-,-,0,,240,0.34,0.00,0.0,0,100,serealia,olahan,,"Hasil: 1 loyang
4 btr telur suhu ruang
Vanilla essense
1/2 gelas belimbing tepung beras
3 sdm tepung ketan
Potas (secukupnya)
Gula merah
3 sdm gula pasir (boleh di tambah / sesuai selera)","Sangrai tepung beras dan ketan
Mix telur,gula pasir,potas,dan vanilla essense sampai mengembang
Panaskan kukusan
Masukkan tepung yg sudah di sangrai sedikit demi sedikit
Masukka ke loyang yg sdh di lumuri mentega kemudian kukus selama ± 30 menit atau sampai matang
Cairkan gula merah, setelah adonan matang potong"" dan celupkan ke gula merah"
"Bubur tinotuan
(Manado)",80.9,156,2.3,0.2,15.6,8.2,1.0,41,20,0.4,486,164.0,0.30,0.4,-,1437,,0.10,0.04,,15,100,serealia,olahan,13,,
Cake tape,32.2,323,4.9,11.5,50.1,1.4,1.4,131,83,2.6,,,,,26,,1872,0.38,0.16,0.3,0,100,serealia,olahan,14,"200 gr Beras
250 gr Singkong
100 gr Bayam
1 bh Jagung manis
1 btg Serai
1 bks Masako® Rasa Ayam 11 gr
3 L air","1. Memarkan serai dan potong-potong singkong.
2. Masukkan beras, serai, air, dan Masako Rasa Ayam, nyalakan api, aduk hingga mendidih.
3. Masukkan singkong, masak hingga empuk. Masukkan jagung, aduk rata.
4. Masukkan bayam, masak hingga matang, angkat, dan sajikan dengan pelengkap."
Cangkuning,57.5,204,2.8,7.5,31.4,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,15,"Hasil: 16 porsi
2 sendok makan kental manis
50 g cheddar cheese
70 g unsalted butter
100 g tepung terigu cakra kembar
5 besar kuning telur
400 gram tape singkong
1/2 sdt garam
1/2 sdt ekstrak vanila
100 gram gula pasir","Haluskan tape, masukkan vanili, SKM.
Kocok 4 kuning telur dengan gula sampai larut dengan wisk, kemudian campurkan dengan adonan tape, aduk sampai rata, masukkan sedikit-sedikit tepung terigu dan butter yg sudah dilelehkan. Masukkan ke loyang yg sudah dialasi kertas roti dan dioles margarin.
Masukkan ke oven panggang api atas bawah 20 menit suhu 180, keluarkan oles dengan 1 butir kuning telur dan tabur keju parut. Oven lagi 30 menit."
Dodol bali,26.5,298,3.7,2.1,65.9,0.4,1.8,70,76,2.5,,,,,0,0,496,0.28,,2.5,0,100,serealia,olahan,,"Hasil:
20 Porsi
Tepung ketan - 500 gram
Santan, hangatkan - 250 ml
Gula pasir - 2 sdm
Garam - 1/4 sdt
Pewarna hijau - 5 tetes
Minyak goreng - 3 sdm
Daun pisang, potong ukuran 10x10 cm - 3 lembar
UNTI KELAPA:
Kelapa, parut - 1/2 butir
Gula merah, serut kasar - 250 gram
Gula pasir - 2 sdm
Garam - 1/4 sdt","1. Unti Kelapa: Masak semua bahan unti kelapa sambil terus diaduk sampai matang. Matikan api lalu biarkan dingin. Bentuk jadi bulat-bulat kecil.
2. Dalam wadah, campur tepung ketan, gula pasir, dan garam. Aduk rata.
3. Tuang santan, minyak goreng, dan pewarna hijau sedikit demi sedikit, sambil terus diuleni hingga kalis dan adonan bisa dibentuk.
4. Ambil selembar daun pisang, lalu beri adonan ketan di tengahnya dan bulatkan. Kerucutkan daun pisang, lalu beri satu bulatan unti kelapa.
5. Lipat ujung daun yang tidak kerucut ke arah depan, lalu tarik ke depan daun yang kerucut. Lakukan hal yang sama untuk sisi kanan dan kiri daun, hingga mengunci rapi berbentuk kerucut. Lakukan hingga semua adonan habis.
6. Panaskan panci kukusan/dandang. Kukus kue hingga matang dan daun pisang berubah layu kecoklatan. Angkat.
7. Siap disajikan."
Dodol galamai,16.5,348,0.4,3.8,76.1,0.5,1.2,41,144,2.6,38,76.0,0.30,2.1,0,0,0,0.03,0.06,1.8,0,100,serealia,olahan,,,
Dodol kedondong,26.4,331,1.9,7.6,63.8,1.0,0.4,90,55,2.3,-,-,-,-,0,-,408,0.11,-,0.8,5,100,serealia,olahan,,,
Dodol manado,26.1,373,4.3,16.5,51.9,0.4,1.2,41,142,2.4,35,72.0,0.30,2.1,0,0,0,0.04,0.06,2.1,0,100,serealia,olahan,,,
Emping beras,13.6,403,10.6,2.2,85.3,0.2,1.9,11,240,0.3,1,113.0,0.30,2.4,-,-,0,0.00,0.16,-,0,100,serealia,olahan,,,
Gemblong,36.2,274,1.7,5.4,55.5,2.2,1.2,69,55,3.3,-,-,-,-,0,0,0,0.00,-,-,0,100,serealia,olahan,16,,
Gendar goreng,30.4,407,6.4,28.2,32.0,0.1,3.0,216,62,1.6,-,-,-,-,0,,184,0.16,0.00,0.6,0,100,serealia,olahan,17,"Hasil: 12 biji (1 biji 40 gram)
Bahan gemblong
125 gr tepung ketan
50 gr tepung beras
150 gr kelapa parut
130 ml Santan+Air
1 sdt garam
Minyak goreng untuk menggoreng
Bahan pelapis :
100 gr Gula merah
25 gr Gula pasir
2 lembar daun pandan
50 ml air","1. Siapkan wadah. Masukkan tepung, kelapa parut dan garam, aduk sampai tercampur rata. tambahkan sedikit demi sedikit campuran santan dan air.
2. Aduk hingga kalis dan bisa dibentuk. Ambil adonan lalu bentuk seperti perkedel. Lakukan sampai habis.
3. Panaskan minyak dengan api kecil lalu goreng semua adonan tadi sampai matang.
4. Di pan terpisah masak gula merah, gula pasir,pandan dan air sampai meleleh dan mengental. Matikan api.
5. Masukkan gemblong yg sudah digoreng lalu aduk2 sampai seluruh permukaan gemblong terlapisi dengan gula merah. Tiriskan sampai dingin dan lapisan gula merah mengeras."
Intip goreng,6.5,474,7.6,21.6,62.3,1.2,2.0,36,64,2.5,0,38.0,0.05,0.5,-,0,200,0.25,0.03,0.8,0,100,serealia,olahan,18,"100 gr Nasi sisa kemarin/boleh nasi baru
Garam gendar, haluskan
Sedikit air","1. Aduk nasi dengan garam gendar dan sedikit air sampe rata. Soalnya aku masak nasinya pake rice cooker. Biasanya kalo nasi kemarin udah agak kering. Jadi ini cuma buat ngelembabin aja. Pake garam secukupnya aja jangan sampe terlalu berwana kuning banget atau bisa koreksi rasa
2. Masak nasi sampe matang. Diamkan sampe hangat. Lalu angkat
3. Tumbuk nasi sampe halus/ sampe lengket, Menggunakan baskom kecil dan batu ulek yang sudah dibungkus plastik yang sudah dilumuri sedikit minyak. Bentuk lonjong bulat. Atau sesuai selera.
Tips: saat pembentukan masukan tangan menggunakan plastik dan olesin bagian permukaannya dengan sedikit minyak. Tujuannya agar memudahkan saat membentuk, tidak lengket dan agar tidak pecah saat di masukan kulkas"
Jagung gerontol,61.7,156,2.7,1.3,33.3,1.0,0.8,51,105,1.2,-,-,-,-,0,-,162,0.08,0.00,0.0,0,100,serealia,olahan,19,"Hasil: 1 buah
200 gr nasi sisa kemarin
3 siung bawang putih dihaluskan
1 sdm peres tepung tapioka
1/2 sdt ketumbar bubuk
1/4 sdt garam","1. Campur nasi dengan bahan lainnya, campur perlahan saja jangan terlalu keras mencampurnya.
2. Siapkan wajan teflon dan letakkan nasi bercampur bumbu tadi. Diratakan pada permukaan teflon, tidak usah terlalu kuat menekannya supaya intip tidak keras. Gunakan plastik untuk meratakan perlahan hingga nasi pada teflon rapi bentuknya
3. Panggang teflon berisi nasi dengan api kompor yang kecil, hingga bagian bawahnya kering agak kehitaman sedikit, jangan lupa ditutup teflonnya. Kemudian matikan kompor, biarkan sesaat agar teflon dingin dan mudah mengeluarkan intip tersebut (kalau masih panas dikeluarkan intipnya bisa rusak bentuknya). Setelah intip nasi dikeluarkan dari teflon letakkan pada nampan (saya stainless) lalu jemur sekitar 1 hari jika panas terik atau 2 hari hingga kering.
4. Goreng intip nasi dengan minyak yang banyak hingga matang. Siap untuk dinikmati sebagai camilan tidak terlalu keras dan cukup renyah."
