,nama_makanan,air,energi,protein,lemak,karbo,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,bdd,kategori,jenis_bahan,id_resep,bahan_bahan,langkah,bahan_stemmed
10,beras parboiled,10,353,6.8,0.6,80,0.5,2.5,5,142,0.8,2,46.0,0.28,1.0,0,0,0,0.22,0.11,3.4,0,100,serealia,tunggal,,,,[]
11,"beras tumbuk, mentah",11.5,354,7.8,0.4,79.9,3.8,0.4,3,112,0.6,5,85.0,0.50,1.5,0,0,0,0.25,0.22,5.1,0,100,serealia,tunggal,,,,[]
12,"beras tumbuk merah,
mentah",14.6,352,7.3,0.9,76.2,0.8,1.0,15,257,4.2,10,202.0,0.36,1.9,0,0,0,0.34,0.00,3.3,0,100,serealia,tunggal,,,,[]
13,"cantel, mentah",11,366,11,3.3,73,1.2,1.7,28,287,4.4,7,249.0,0,0,0,0,0,0.09,0.14,2.8,0,100,serealia,tunggal,,,,[]
14,"jagung muda, kuning,
mentah",61.8,147,5.1,0.7,31.5,1.3,0.9,6,122,1.1,5,33.6,0.13,0.9,0,113,261,0.24,0.10,0.8,9,100,serealia,tunggal,,,,[]
15,"jagung kuning pipil,
kering, mentah",11.5,366,9.8,7.3,69.1,2.2,2.4,30,538,2.3,5,79.4,0.10,4.1,0,636,641,0.12,0.12,1.8,3,100,serealia,tunggal,,,,[]
16,"jagung pipil var,
harapan, kering",11.3,367,6.2,5.1,76.2,2.6,1.2,7,354,2.8,1,79.6,0.10,4.1,0,637,385,0.19,0.08,1.0,0,100,serealia,tunggal,,,,[]
17,"jagung pipil var,
metro, kering",10.6,368,5.5,4.6,78,2.9,1.3,7,300,2.4,1,80.2,0.10,4.1,0,642,554,0.16,0.08,1.0,0,100,serealia,tunggal,,,,[]
18,"jali, mentah",23,324,11,4.0,61,3.1,1.0,213,176,"11.
0",24,0,0.10,0.4,0,0,0,0.14,0.08,1.8,0,90,serealia,tunggal,,,,[]
19,"jawawut, mentah",11.9,364,9.7,3.5,73.4,8.2,1.5,28,311,5.3,7,255.1,0.45,1.5,0,33,0,0.33,0.28,4.5,-,100,serealia,tunggal,,,,[]
20,"jampang huma,
mentah",11.7,350,6.2,1.4,78.2,1.7,2.5,329,254,5.3,53,396.7,0.70,1.6,0,33,0,0.51,0.30,0.7,0,100,serealia,tunggal,,,,[]
21,nasi,56.7,180,3,0.3,39.8,0.2,0.2,25,27,0.4,1,38.0,0.10,0.6,0,0,0,0.05,0.10,2.6,0,100,serealia,olahan,,,,[]
22,nasi tim,71,120,2.4,0.4,26,0.5,0.2,3,7,0.4,0,23.9,0.10,0.4,0,0,0,0.10,0.00,1.4,0,100,serealia,olahan,1,,,[]
23,"beras, tapai",75.5,99,1.7,0.3,22.4,0.0,0.1,4.0,19,0.0,26,2.0,0.10,0.5,0,0,0,0.00,0.00,0.0,0,100,serealia,olahan,,"- 100g nasi aron
- 1/4 bh bawang bombay
- 1 1/2 sdm saori saus teriyaki
- 1 sdm minyak goreng
pelengkap:
- kuah kaldu
- daun bawang","1. iris - iris bawang bombay.
2. tumis bawang bombay hingga harum.
3. masukkan kuah kaldu, saori saus teriyaki, aduk rata. masak hingga kuah mengental, angkat, dan sisihkan.
4. masukkan tumisan dan nasi aron ke dalam wadah, kukus kurang lebih 30 menit, angkat, beri daun bawang dan sajikan.","['nasi', 'aron', 'bh', 'bawang', 'bombay', 'sdm', 'saori', 'saus', 'teriyaki', 'sdm', 'minyak', 'goreng', 'lengkap', 'kuah', 'kaldu', 'daun', 'bawang']"
24,"beras, tepung, mentah",12,353,7,0.5,80,2.4,0.5,5,140,0.8,5,241.0,0.10,0.8,0,0,0,0.12,0.10,1.2,0,100,serealia,olahan,,,,[]
25,"beras merah, nasi",64,149,2.8,0.4,32.5,0.3,0.3,6,63,0.8,5,91.4,0.20,0.9,0,0,0,0.06,0.00,1.6,0,100,serealia,olahan,,,,[]
26,"bihun, mentah",12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,12,5.0,0.08,0.7,0,0,0,0.00,0.00,0.2,0,100,serealia,olahan,,,,[]
27,bihun goreng instan,9,381,6.1,3.9,80.3,0,0.7,266,151,2.9,928,0,0,0,58,0,400,0.37,0,0,0,100,serealia,olahan,,,,[]
28,"bihun jagung, mentah",11.3,354,0.5,0.3,87.4,3.0,0.5,13,111,0.6,49,1.4,0.40,0.0,0,0,0,0.02,0.02,0.3,0,100,serealia,olahan,,,,[]
29,"jagung nasi, mentah",11,357,8.8,0.5,79.5,6.2,0.3,5,43,0.6,2,30.4,0.10,0.3,0,0,0.0,0.30,0.02,0.1,0,100,serealia,olahan,,,,[]
30,"jagung muda, rebus",53.2,142,5,0.7,30.3,0.8,0.8,5,105,0.8,5,24.3,0.20,0.9,0,145,225,0.15,0.00,0.7,0,100,serealia,olahan,,,,[]
31,"jagung kuning, tepung",12,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,0,0,510,0.38,0.02,0.3,0,100,serealia,olahan,,,,[]
32,"jagung kuning pipil,
rebus",63.7,154,3.8,3.5,28.4,0.7,0.6,7,171,0.5,5,56.4,0.10,4.4,0,818,234,0.08,0.10,1.7,0,100,serealia,olahan,,,,[]
33,"jagung, tepung putih",12,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,0,0,0,0.38,0.02,0.3,0,100,serealia,olahan,,,,[]
34,"ketan, ketupat",52,212,4,4.6,38.6,0.2,0.9,8,46,1.0,0,0,0,0,0,0,0,0.07,0,0.2,0,100,serealia,olahan,,,,[]
35,"ketan hitam, matang",56.9,181,4,1.2,37.3,0.3,0.6,9,144,1.7,9,18.4,0.10,0.7,0,0,0,0.06,0.00,0.5,0,100,serealia,olahan,,,,[]
36,"ketan hitam, tapai",50.2,166,3.8,1.0,34.4,0.3,0.6,8.0,106,1.6,5,12.0,0,0,0,0,0,0.02,0,0,0,100,serealia,olahan,,,,[]
37,"ketan putih, matang",60.7,163,3,0.4,35.7,0.2,0.2,4,55,0.7,8,16.8,0.10,0.7,0,0,0,0.07,0.00,0.5,0,100,serealia,olahan,,,,[]
38,"ketan putih, tapai",58.9,172,3,0.5,37.5,0.6,0.1,6,35,0.5,1,0,0,0,0,0,0,0.04,0.00,0.2,0,100,serealia,olahan,,,,[]
39,"maizena, tepung",14,341,0.3,0.0,85,7.0,0.7,20,30,1.5,6,9.0,0.22,1.6,0,0,0,0.00,0.09,1.3,0,100,serealia,olahan,,,,[]
40,"makaroni, mentah",11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5,0.0,0.28,1.4,0,0,0,0.10,0.13,2.2,0,100,serealia,olahan,,,,[]
41,mi basah,80,88,0.6,3.3,14,0.1,2.1,14,13,6.8,63,13.5,0.06,0.4,0,0,0,0.00,0.00,0.0,0,100,serealia,olahan,,,,[]
42,mi kering,10.6,339,10,1.7,6.3,0.4,1.4,31,143,3.9,760,83.0,0.29,1.9,0,0,0,0.00,0.08,2.2,0,100,serealia,olahan,,,,[]
43,misoa,10,345,8.5,2.2,78,0.5,1.3,52,120,8.7,3064,44.0,0.08,0.0,0,0,0,0.00,0.02,0.2,0,100,serealia,olahan,,,,[]
44,roti putih,40,248,8,1.2,50,9.1,0.8,10,95,1.5,530,91.0,0.15,0.9,0,0,0,0.10,0.29,2.4,0,100,serealia,olahan,,,,[]
45,tepung terigu,11.8,333,9,1.0,77.2,0.3,1.0,22,150,1.3,2,0.0,0.00,2.8,0,0,0,0.10,0.07,1.0,0,100,serealia,olahan,,,,[]
46,amparan tatak,58.4,191,1.3,5.5,34,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,-,100,serealia,olahan,2,,,[]
47,"apang kukus, kue",49.5,202,3,0.3,46.7,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-,100,serealia,olahan,3,"bahan a:
30 gr tepung beras
250 ml santan kental
25 gr gula pasir
1/2 sdt garam
bahan b:
6 buah pisang raja, potong-potong tipis
100 gr tepung beras
300 ml santan
50 gr gula pasir
1/2 sdt vanili bubuk
1/4 sdt garam
2 lembar daun pandan","buat dulu lapisan bawahnya dulu dengan bahan b. masak dulu santan hingga panas, masukkan gula, garam dan daun pandan yang sudah diremas dan ikat simpul. aduk terus hingga larut. angkat.
campurkan tepung beras dan vanili dalam wadah tahan panas. tuang santan sambil disaring ke dalam tepung, aduk rata hingga lembut dan halus tidak bergerindil.
panaskan kukusan. siapkan loyang, olesi dengan minyak goreng. tuang adonan ke dalam loyang, sisakan 1/3 adonan. tutup dan kukus selama 15 menit.
campurkan 1/3 adonan dengan potongan pisang raja. setelah pengukusan 15 menit, buka dan tuang adonan pisang. tutup kembali dan kukus lagi selama 15 menit.
selagi menunggu adonan kukus, buat lapisan atasnya dengan bahan a.
campurkan semua bahan, aduk rata hingga tidak ada yang bergerindil. saring ke dalam panci, nyalakan api. masak hingga meletup-letup dan tidak ada yang bergerindil. matikan api.
tuang adonan ke atas lapisan pisang setelah matang, kembali kukus lagi selama 15 menit. setelah padat matang, matikan api, keluarkan dari kukusan dan biarkan dingin.
keluarkan dari cetakan dan potong-potong.","['bahan', 'gr', 'tepung', 'beras', 'ml', 'santan', 'kental', 'gr', 'gula', 'pasir', 'sdt', 'garam', 'bahan', 'buah', 'pisang', 'raja', 'potongpotong', 'tipis', 'gr', 'tepung', 'beras', 'ml', 'santan', 'gr', 'gula', 'pasir', 'sdt', 'vanili', 'bubuk', 'sdt', 'garam', 'lembar', 'daun', 'pandan']"
48,"apem, kue",63.1,148,2,0.5,33.9,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-,100,serealia,olahan,4,"200 gr tepung beras.
50 ml tepung terigu.
150 gr gula pasir.
400 ml santan yang sudah didihkan terlebi hdahulu.
1 sdm fermipan.
1/2 sdt baking powder.
1/4 sdt garam.
pasta pandan secukupnya.","masukan tepung tambahkan, ragi, gula, garam, pewarna dan baking powder aduk rata.
tambahkan santan aduk rata saring.
diamkan adinan selama 30 menit.
didihkan kukusan alas serbet penutup panci oles cetakan dengan sedikit minyak.
stelah 30 menit tuang adonan pada cetakan kukukus 15 menit.","['gr', 'tepung', 'beras', 'ml', 'tepung', 'terigu', 'gr', 'gula', 'pasir', 'ml', 'santan', 'didih', 'terlebi', 'hdahulu', 'sdm', 'fermipan', 'sdt', 'baking', 'powder', 'sdt', 'garam', 'pasta', 'pandan']"
49,biskuit,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,241,20.3,0.16,0.6,0,14,0,0.09,0.15,1.4,0,100,serealia,olahan,,"½ sendok teh garam
2 lembar daun pandan, simpulkan
225 gram tepung beras
250 ml santan dari ½ butir kelapa
100 gram tepung terigu
6 gram ragi instan","1. didihkan air kelapa, masukkan gula merah, garam, dan daun pandan. angkat, saring, dan dinginkan.
2. tuang rebusan air kelapa ke dalam tepung beras, aduk dengan tangan hingga tercampur rata, dinginkan.
3. masukkan santan, tepung terigu, ragi instan, bumbu spekuk, dan baking powder, uleni sambil diaduk-aduk selama 15 menit.
4. diamkan adonan selama 40 menit atau hingga adonan mengembang.
5. siapkan loyang cetakan, olesi minyak goreng. panaskan cetakan dalam kukusan selama 5 menit.
6. tuang adonan ke dalam cetakan, lalu kukus selama 30 menit atau hingga kue matang.
7. potong sesuai selera, hidangkan dengan taburan parutan kelapa.","['sendok', 'garam', 'lembar', 'daun', 'pandan', 'simpul', 'gram', 'tepung', 'beras', 'ml', 'santan', 'butir', 'kelapa', 'gram', 'tepung', 'terigu', 'gram', 'ragi', 'instan']"
50,"bakpia, kue",38.9,272,8.7,6.7,44.1,0.9,1.6,194,117,4.5,-,-,-,-,-,-,1392,0.31,1.00,2.9,0,100,serealia,olahan,,,,[]
51,bakwan,40.5,280,8.2,10.2,39,3.4,2.1,204,79,7.0,-,-,-,-,0,-,0,0.08,-,-,0,100,serealia,olahan,5,,,[]
52,bantal,52.3,190,3.3,0.3,43.5,3.4,0.6,9,0,0.4,164,84.0,0.20,0.9,-,-,-,0.27,0.02,3.6,-,100,serealia,olahan,6,"- 60 gr wortel
- 3 gr seledri
- 7 gr daun bawang 20 gr kol
- 1 bks sajiku® tepung bumbu bakwan crispy
- 700 ml minyak goreng
- 130 ml air","potong wortel bentuk korek api, iris daun bawang, kol, seledri.
campurkan sajiku tepung bumbu bakawan crispy dengan air, aduk rata.
masukkan wortel, kol, daun bawang, seledri, aduk rata.
panaskan minyak goreng, masukkan adonan dengan sendok, goreng hingga matang dan berwarna kuning keemasan.","['gr', 'wortel', 'gr', 'seledri', 'gr', 'daun', 'bawang', 'gr', 'kol', 'bks', 'saji', 'tepung', 'bumbu', 'bakwan', 'crispy', 'ml', 'minyak', 'goreng', 'ml', 'air']"
53,baruasa,5.3,417,6.5,8.2,79.3,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,7,"bahan biang

1 sdt ragi instan
100 ml air hangat
2 sdm gula pasir
bahan roti

250 gram tepung terigu
1 butir telur
1/4 sdt vanili bubuk
1 sdm margarin
40 ml kental manis
bahan taburan

biji wijen dan gula pasir secukupnya","1. campur semua bahan biang. diamkan sekitar 10 menit sampai berbuih.

2. campur semua bahan roti. masukkan bahan biang sedikit demi sedikit sambil uleni hingga kalis.

3. siapkan wadah yang sudah diolesi minyak. taruh adonan dan diamkan sampai mengembang.

4. setelah adonan mengembang, tinju adonan hingga mengempis.

5. potong adonan kotak-kotak. diamkan sekitar 15 menit. olesi permukaan adonan dengan air, taburi dengan biji wijen dan gula pasir.

6. panaskan minyak goreng. goreng roti dengan api sedang sampai kecokelatan. angkat dan tiriskan.","['bahan', 'biang', 'sdt', 'ragi', 'instan', 'ml', 'air', 'hangat', 'sdm', 'gula', 'pasir', 'bahan', 'roti', 'gram', 'tepung', 'terigu', 'butir', 'telur', 'sdt', 'vanili', 'bubuk', 'sdm', 'margarin', 'ml', 'kental', 'manis', 'bahan', 'tabur', 'biji', 'wijen', 'gula', 'pasir']"
54,batar daan,75.3,107,2.2,2.2,19.6,-,0.7,20.0,30.0,0.6,"200.
0",90.0,0.10,-,-,-,-,0.18,0.02,-,-,100,serealia,olahan,8,"hasil:
1 toples @500 gram
tepung beras - 250 gram
kelapa parut - 100 gram
telur - 2 butir
margarin - 50 gram
gula pasir butiran halus - 100 gram
gula merah, sisir halus - 50 gram
baking powder - 1/2 sdt
baking soda - 1/2 sdt
daun pandan - 1 lembar
","1. sangrai tepung beras dengan 1 lembar daun pandan sampai tepung terasa ringan, angkat dan dinginkan. buang daun pandannya.
2. sangrai kelapa parut sampai kering dan berwarna kecoklatan, kemudian tumbuk halus atau haluskan dengan chopper.
3. campur tepung beras yang sudah disangrai, kelapa parut, baking powder, baking soda, aduk rata. sisihkan.
4. dalam wadah campur margarin, gula pasir dan gula merah, kocok menggunakan mixer sampai tercampur rata. masukkan telur satu per satu, kocok sampai sedikit mengembang dan mengental.
5. tambahkan campuran tepung ke dalam kocokan telur dan gula, aduk rata menggunakan spatula sampai tekstur adonan bisa dipulung.
6. ambil satu sendok teh adonan, kemudian bulatkan. tata dengan diberi jarak di atas loyang yang sudah dialasi kertas roti dan dioles margarin tipis.
7. panggang dengan suhu 160°c sampai matang selama 30 menit.
8. setelah matang dinginkan dan simpan di toples kedap udara.","['hasil', 'toples', 'gram', 'tepung', 'beras', 'gram', 'kelapa', 'parut', 'gram', 'telur', 'butir', 'margarin', 'gram', 'gula', 'pasir', 'butir', 'halus', 'gram', 'gula', 'merah', 'sisir', 'halus', 'gram', 'baking', 'powder', 'sdt', 'baking', 'soda', 'sdt', 'daun', 'pandan', 'lembar']"
55,bika ambon,51.5,199,2.1,1.5,44.4,0.3,0.6,45,28,1.8,-,-,-,-,0,-,408,0.10,-,0.0,0,100,serealia,olahan,9,"hasil: 4 porsi
1 bawang bombay besar, potong dadu
5 siung bawang putih, cincang
3 sdm minyak zaitun perdagangan adil
3 gelas air
1 buah labu siam, potong kecil-kecil
1 10-oz. kantong jagung beku
1 15-oz. kaleng kacang merah, tiriskan
garam dan merica secukupnya
2 cangkir nasi matang","tumis bawang bombay dan bawang putih dengan minyak zaitun dengan api sedang hingga layu. tambahkan air dan labu siam, masak hingga air mendidih. tambahkan jagung dan kacang merah, kecilkan api menjadi sedang, dan masak sambil sesekali diaduk selama 15 hingga 20 menit sampai labu empuk. tambahkan garam dan merica sesuai selera. sajikan dengan nasi.","['hasil', 'porsi', 'bawang', 'bombay', 'potong', 'dadu', 'siung', 'bawang', 'putih', 'cincang', 'sdm', 'minyak', 'zaitun', 'dagang', 'adil', 'gelas', 'air', 'buah', 'labu', 'siam', 'potong', 'kecilkecil', 'oz', 'kantong', 'jagung', 'beku', 'oz', 'kaleng', 'kacang', 'merah', 'tiris', 'garam', 'merica', 'cangkir', 'nasi', 'matang']"
56,bingka,44.4,273,5.3,10.6,39.1,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,10,"hasil: 16 porsi
250 ml santan kental
½ sdt garam
1 sdt kunyit bubuk
2 lembar daun pandan
2 batang serai, memarkan
12 lembar daun jeruk
4 butir telur
200 g gula halus
200 g tepung terigu
150 g tepung tapioka
2 sdm margarin, cairkan
biang:
2 sdt ragi instan
4 sdm gula pasir
150 ml santan cair hangat","biang: dalam wadah, aduk rata bahan biang. diamkan hingga berbusa, sisihkan.

panaskan santan dan garam. masukkan kunyit bubuk, daun pandan, serai dan daun jeruk. masak hingga mendidih, angkat dan saring. sisihkan.

kocok telur hingga berbusa. tambahkan gula halus dan santan yang sudah direbus. masukkan tepung terigu dan tepung tapioka, aduk rata. masukkan margarin, aduk rata. diamkan adonan selama 1 jam.

panaskan dandang dan bungkus tutupnya dengan kain atau serbet bersih.

tuang ke dalam loyang persegi 20 cm yang sudah dioles margarin dan dialas baking paper.

masukkan ke dalam dandang dan kukus di atas api besar selama 25-30 menit sampai matang.

keluarkan dari dandang dan biarkan dingin. potong-potong, sajikan.","['hasil', 'porsi', 'ml', 'santan', 'kental', 'sdt', 'garam', 'sdt', 'kunyit', 'bubuk', 'lembar', 'daun', 'pandan', 'batang', 'serai', 'memar', 'lembar', 'daun', 'jeruk', 'butir', 'telur', 'gula', 'halus', 'tepung', 'terigu', 'tepung', 'tapioka', 'sdm', 'margarin', 'cair', 'biang', 'sdt', 'ragi', 'instan', 'sdm', 'gula', 'pasir', 'ml', 'santan', 'cair', 'hangat']"
57,bobengka,46.3,225,5.3,2.6,45.2,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,11,"hasil: 9 porsi
kentang, kukus lalu haluskan - 300 gram
terigu protein sedang - 150 gram
telur - 4 butir
gula pasir - 200 gram
margarin cair, dinginkan - 100 ml
garam - sejumput
wijen, sangrai - secukupnya
santan kental - 300 ml
daun pandan - 5 lembar
daun suji - 10 lembar
","1. campur santan kental, daun pandan, dan daun suji, lalu blender jadi satu. saring dan sisihkan.
2. dalam satu wadah, campur kentang, tepung terigu, telur, gula, garam, dan campuran santan. aduk rata menggunakan whisker atau bisa menggunakan blender.
3. masukkan margarin cair, aduk rata.
4. oles tipis loyang bingka dengan margarin. panaskan di atas kompor menggunakan api kecil.
5. setelah loyang benar-benar panas, tuang adonan. taburi wijen. tutup cetakan.
6. masak hingga matang dan permukaan kue bingka mengering, selama sekitar 30-40 menit.
7. angkat loyang. dinginkan dengan cara diangin-anginkan di atas rak kawat. setelah dingin, keluarkan kue dari loyang lalu potong sesuai selera.
8. siap disajikan.","['hasil', 'porsi', 'kentang', 'kukus', 'halus', 'gram', 'terigu', 'protein', 'gram', 'telur', 'butir', 'gula', 'pasir', 'gram', 'margarin', 'cair', 'dingin', 'ml', 'garam', 'jumput', 'wijen', 'sangrai', 'santan', 'kental', 'ml', 'daun', 'pandan', 'lembar', 'daun', 'suji', 'lembar']"
58,bolu peca,55.6,197,3.3,4.6,35.6,-,0.9,-,0,0.0,0,0.0,-,-,-,-,-,-,0.00,0.0,0,100,serealia,olahan,12,"hasil: 1 loyang
250 gr tepung terigu protein sedang
200 gr gula merah iris halus
2 sdm gula pasir
1/2 sdm ragi instan
250 ml santan kelapa
2 butir telor ayam
100 gr parut kelapa
50 gr kacang cincang
1/2 sdt garam","siapkan alat dan bahan.
didihkan santan dalam panci beserta gula merah. saring, masukan fermipam, gula pasir, aduk rata.
sediakan wadah kecil, pecah telor aduk hingga berbuih. tuang kedalam adonan, uleni hingga kalis. diemin adonan setengah jam ato sampe adonan mengembang.
tambahkan parut kelapa, aduk merata. tuang ke loyang, yang sebelumnya sudah diberi alas kertas dan mentega. masukkan kedalam oven dengan suhu 180°c.
angkat.","['hasil', 'loyang', 'gr', 'tepung', 'terigu', 'protein', 'gr', 'gula', 'merah', 'iris', 'halus', 'sdm', 'gula', 'pasir', 'sdm', 'ragi', 'instan', 'ml', 'santan', 'kelapa', 'butir', 'telor', 'ayam', 'gr', 'parut', 'kelapa', 'gr', 'kacang', 'cincang', 'sdt', 'garam']"
59,brem,37.4,249,3.4,0.4,58,0.0,0.9,198,86,2.0,-,-,-,-,0,0,240,0.34,0.00,0.0,0,100,serealia,olahan,,"hasil: 1 loyang
4 btr telur suhu ruang
vanilla essense
1/2 gelas belimbing tepung beras
3 sdm tepung ketan
potas (secukupnya)
gula merah
3 sdm gula pasir (boleh di tambah / sesuai selera)","sangrai tepung beras dan ketan
mix telur,gula pasir,potas,dan vanilla essense sampai mengembang
panaskan kukusan
masukkan tepung yg sudah di sangrai sedikit demi sedikit
masukka ke loyang yg sdh di lumuri mentega kemudian kukus selama ± 30 menit atau sampai matang
cairkan gula merah, setelah adonan matang potong"" dan celupkan ke gula merah","['hasil', 'loyang', 'btr', 'telur', 'suhu', 'ruang', 'vanilla', 'essense', 'gelas', 'belimbing', 'tepung', 'beras', 'sdm', 'tepung', 'ketan', 'potas', 'gula', 'merah', 'sdm', 'gula', 'pasir', 'sesuai', 'selera']"
60,"bubur tinotuan
(manado)",80.9,156,2.3,0.2,15.6,8.2,1.0,41,20,0.4,486,164.0,0.30,0.4,-,1437,0,0.10,0.04,0,15,100,serealia,olahan,13,,,[]
61,cake tape,32.2,323,4.9,11.5,50.1,1.4,1.4,131,83,2.6,0,0,0,0,26,0,1872,0.38,0.16,0.3,0,100,serealia,olahan,14,"200 gr beras
250 gr singkong
100 gr bayam
1 bh jagung manis
1 btg serai
1 bks masako® rasa ayam 11 gr
3 l air","1. memarkan serai dan potong-potong singkong.
2. masukkan beras, serai, air, dan masako rasa ayam, nyalakan api, aduk hingga mendidih.
3. masukkan singkong, masak hingga empuk. masukkan jagung, aduk rata.
4. masukkan bayam, masak hingga matang, angkat, dan sajikan dengan pelengkap.","['gr', 'beras', 'gr', 'singkong', 'gr', 'bayam', 'bh', 'jagung', 'manis', 'btg', 'serai', 'bks', 'masako', 'ayam', 'gr', 'air']"
62,cangkuning,57.5,204,2.8,7.5,31.4,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,15,"hasil: 16 porsi
2 sendok makan kental manis
50 g cheddar cheese
70 g unsalted butter
100 g tepung terigu cakra kembar
5 besar kuning telur
400 gram tape singkong
1/2 sdt garam
1/2 sdt ekstrak vanila
100 gram gula pasir","haluskan tape, masukkan vanili, skm.
kocok 4 kuning telur dengan gula sampai larut dengan wisk, kemudian campurkan dengan adonan tape, aduk sampai rata, masukkan sedikit-sedikit tepung terigu dan butter yg sudah dilelehkan. masukkan ke loyang yg sudah dialasi kertas roti dan dioles margarin.
masukkan ke oven panggang api atas bawah 20 menit suhu 180, keluarkan oles dengan 1 butir kuning telur dan tabur keju parut. oven lagi 30 menit.","['hasil', 'porsi', 'sendok', 'makan', 'kental', 'manis', 'cheddar', 'cheese', 'unsalted', 'butter', 'tepung', 'terigu', 'cakra', 'kembar', 'kuning', 'telur', 'gram', 'tape', 'singkong', 'sdt', 'garam', 'sdt', 'ekstrak', 'vanila', 'gram', 'gula', 'pasir']"
