nama_makanan,air,energi,protein,lemak,karbo,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,bdd,kategori,jenis_bahan,id_resep
"Beras giling, mentah",12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27,71.0,0.10,0.5,0,0,0,0.20,0.08,2.6,0,100,serealia,tunggal,
"Beras giling var pelita,
mentah",11.4,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,34,0.0,0.00,0.0,0,0,0,0.26,0.00,0.0,0,100,serealia,tunggal,
"Beras giling var
rojolele, mentah",12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,34,112.9,0.14,0.1,,0,80,0.20,0.02,1.5,0,100,serealia,tunggal,
"Beras hitam, mentah",12.9,351,8.0,1.3,76.9,20.1,0.9,6,198,0.1,15,105.0,0.10,1.6,0,0,0,0.21,0.06,0.0,0,100,serealia,tunggal,
"Beras jagung kuning, kering, mentah",10.8,358,5.5,0.1,82.7,10.0,0.9,20,90,1.4,1,80.0,0.10,4.1,,641,,0.12,0.08,1.0,3,100,serealia,tunggal,
"Beras jagung putih,
kering, mentah",22.5,307,4.8,0.1,71.8,10.0,0.8,17,78,1.2,1,70.0,0.10,3.5,,301,,0.15,0.07,0.9,0,100,serealia,tunggal,
"Beras ketan hitam tumbuk, mentah",13.7,360,8.0,2.3,74.5,1.0,1.5,10,347,6.2,11,288.0,0.28,2.2,0,0,0,0.24,0.10,2.0,0,100,serealia,tunggal,
"Beras ketan putih
tumbuk, mentah",12.9,361,7.4,0.8,78.4,0.4,0.5,13,157,3.4,3,282.0,0.28,2.2,0,0,0,0.28,0.00,1.4,0,100,serealia,tunggal,
"Beras ladang, mentah",9.8,376,7.5,3.8,78.0,5.9,0.9,20,110,0.8,10,70.0,0.10,1.4,0,0,,0.20,0.20,5.1,0,100,serealia,tunggal,
"Beras menir, mentah",12.0,362,7.7,4.4,73.0,0.2,0.2,22,272,3.7,90,201.0,0.10,0.5,0,0,,0.55,0.00,1.9,0,100,serealia,tunggal,
Beras parboiled,10.0,353,6.8,0.6,80.0,0.5,2.5,5,142,0.8,2,46.0,0.28,1.0,0,0,,0.22,0.11,3.4,0,100,serealia,tunggal,
"Beras tumbuk, mentah",11.5,354,7.8,0.4,79.9,3.8,0.4,3,112,0.6,5,85.0,0.50,1.5,0,0,,0.25,0.22,5.1,0,100,serealia,tunggal,
"Beras tumbuk merah,
mentah",14.6,352,7.3,0.9,76.2,0.8,1.0,15,257,4.2,10,202.0,0.36,1.9,0,0,0,0.34,0.00,3.3,0,100,serealia,tunggal,
"Cantel, mentah",11.0,366,11.0,3.3,73.0,1.2,1.7,28,287,4.4,7,249.0,,,0,0,,0.09,0.14,2.8,0,100,serealia,tunggal,
"Jagung muda, kuning,
mentah",61.8,147,5.1,0.7,31.5,1.3,0.9,6,122,1.1,5,33.6,0.13,0.9,0,113,261,0.24,0.10,0.8,9,100,serealia,tunggal,
"Jagung kuning pipil,
kering, mentah",11.5,366,9.8,7.3,69.1,2.2,2.4,30,538,2.3,5,79.4,0.10,4.1,,636,641,0.12,0.12,1.8,3,100,serealia,tunggal,
"Jagung pipil var,
harapan, kering",11.3,367,6.2,5.1,76.2,2.6,1.2,7,354,2.8,1,79.6,0.10,4.1,,637,385,0.19,0.08,1.0,0,100,serealia,tunggal,
"Jagung pipil var,
metro, kering",10.6,368,5.5,4.6,78.0,2.9,1.3,7,300,2.4,1,80.2,0.10,4.1,,642,554,0.16,0.08,1.0,0,100,serealia,tunggal,
"Jali, mentah",23.0,324,11.0,4.0,61.0,3.1,1.0,213,176,"11.
0",24,,0.10,0.4,,,,0.14,0.08,1.8,0,90,serealia,tunggal,
"Jawawut, mentah",11.9,364,9.7,3.5,73.4,8.2,1.5,28,311,5.3,7,255.1,0.45,1.5,,33,,0.33,0.28,4.5,-,100,serealia,tunggal,
"Jampang huma,
mentah",11.7,350,6.2,1.4,78.2,1.7,2.5,329,254,5.3,53,396.7,0.70,1.6,,33,,0.51,0.30,0.7,0,100,serealia,tunggal,
Nasi,56.7,180,3.0,0.3,39.8,0.2,0.2,25,27,0.4,1,38.0,0.10,0.6,0,0,,0.05,0.10,2.6,0,100,serealia,olahan,
Nasi tim,71.0,120,2.4,0.4,26.0,0.5,0.2,3,7,0.4,0,23.9,0.10,0.4,,0,,0.10,0.00,1.4,0,100,serealia,olahan,1
"Beras, tapai",75.5,99,1.7,0.3,22.4,0.0,0.1,4.0,19,0.0,26,2.0,0.10,0.5,0,0,0,0.00,0.00,0.0,0,100,serealia,olahan,
"Beras, tepung, mentah",12.0,353,7.0,0.5,80.0,2.4,0.5,5,140,0.8,5,241.0,0.10,0.8,0,0,0,0.12,0.10,1.2,0,100,serealia,olahan,
"Beras merah, Nasi",64.0,149,2.8,0.4,32.5,0.3,0.3,6,63,0.8,5,91.4,0.20,0.9,0,0,0,0.06,0.00,1.6,0,100,serealia,olahan,
"Bihun, mentah",12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,12,5.0,0.08,0.7,0,0,0,0.00,0.00,0.2,0,100,serealia,olahan,
Bihun goreng instan,9.0,381,6.1,3.9,80.3,,0.7,266,151,2.9,928,,,,58,,400,0.37,,,0,100,serealia,olahan,
"Bihun Jagung, mentah",11.3,354,0.5,0.3,87.4,3.0,0.5,13,111,0.6,49,1.4,0.40,0.0,,0,0,0.02,0.02,0.3,0,100,serealia,olahan,
"Jagung nasi, mentah",11.0,357,8.8,0.5,79.5,6.2,0.3,5,43,0.6,2,30.4,0.10,0.3,,0,0.0,0.30,0.02,0.1,0,100,serealia,olahan,
"Jagung muda, rebus",53.2,142,5.0,0.7,30.3,0.8,0.8,5,105,0.8,5,24.3,0.20,0.9,,145,225,0.15,0.00,0.7,0,100,serealia,olahan,
"Jagung kuning, tepung",12.0,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,510,0.38,0.02,0.3,,100,serealia,olahan,
"Jagung kuning pipil,
rebus",63.7,154,3.8,3.5,28.4,0.7,0.6,7,171,0.5,5,56.4,0.10,4.4,,818,234,0.08,0.10,1.7,0,100,serealia,olahan,
"Jagung, tepung putih",12.0,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,0,0.38,0.02,0.3,,100,serealia,olahan,
"Ketan, ketupat",52.0,212,4.0,4.6,38.6,0.2,0.9,8,46,1.0,,,,,0,0,0,0.07,,0.2,0,100,serealia,olahan,
"Ketan hitam, matang",56.9,181,4.0,1.2,37.3,0.3,0.6,9,144,1.7,9,18.4,0.10,0.7,0,0,0,0.06,0.00,0.5,0,100,serealia,olahan,
"Ketan hitam, tapai",50.2,166,3.8,1.0,34.4,0.3,0.6,8.0,106,1.6,5,12.0,,,,,0,0.02,,,0,100,serealia,olahan,
"Ketan putih, matang",60.7,163,3.0,0.4,35.7,0.2,0.2,4,55,0.7,8,16.8,0.10,0.7,0,0,0,0.07,0.00,0.5,0,100,serealia,olahan,
"Ketan putih, tapai",58.9,172,3.0,0.5,37.5,0.6,0.1,6,35,0.5,1,,,,0,0,0,0.04,0.00,0.2,0,100,serealia,olahan,
"Maizena, tepung",14.0,341,0.3,0.0,85.0,7.0,0.7,20,30,1.5,6,9.0,0.22,1.6,0,0,0,0.00,0.09,1.3,0,100,serealia,olahan,
"Makaroni, mentah",11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5,0.0,0.28,1.4,,,0,0.10,0.13,2.2,0,100,serealia,olahan,
Mi basah,80.0,88,0.6,3.3,14.0,0.1,2.1,14,13,6.8,63,13.5,0.06,0.4,,0,,0.00,0.00,0.0,0,100,serealia,olahan,
Mi kering,10.6,339,10.0,1.7,6.3,0.4,1.4,31,143,3.9,760,83.0,0.29,1.9,,,0,0.00,0.08,2.2,0,100,serealia,olahan,
Misoa,10.0,345,8.5,2.2,78.0,0.5,1.3,52,120,8.7,3064,44.0,0.08,0.0,0,0,0,0.00,0.02,0.2,0,100,serealia,olahan,
Roti putih,40.0,248,8.0,1.2,50.0,9.1,0.8,10,95,1.5,530,91.0,0.15,0.9,0,0,0,0.10,0.29,2.4,0,100,serealia,olahan,
Tepung terigu,11.8,333,9.0,1.0,77.2,0.3,1.0,22,150,1.3,2,0.0,0.00,2.8,0,0,0,0.10,0.07,1.0,0,100,serealia,olahan,
Amparan tatak,58.4,191,1.3,5.5,34.0,,0.8,,,,,,,,,,,,,,-,100,serealia,olahan,2
"Apang kukus, kue",49.5,202,3.0,0.3,46.7,,0.5,,,,,,,,,,,,,,-,100,serealia,olahan,3
"Apem, kue",63.1,148,2.0,0.5,33.9,,0.5,,,,,,,,,,,,,,-,100,serealia,olahan,4
Biskuit,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,241,20.3,0.16,0.6,0,14,,0.09,0.15,1.4,0,100,serealia,olahan,
"Bakpia, kue",38.9,272,8.7,6.7,44.1,0.9,1.6,194,117,4.5,-,-,-,-,-,-,1392,0.31,1.00,2.9,0,100,serealia,olahan,
Bakwan,40.5,280,8.2,10.2,39.0,3.4,2.1,204,79,7.0,-,-,-,-,0,-,0,0.08,-,-,0,100,serealia,olahan,5
Bantal,52.3,190,3.3,0.3,43.5,3.4,0.6,9,0,0.4,164,84.0,0.20,0.9,-,-,-,0.27,0.02,3.6,-,100,serealia,olahan,6
Baruasa,5.3,417,6.5,8.2,79.3,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,7
Batar daan,75.3,107,2.2,2.2,19.6,-,0.7,20.0,30.0,0.6,"200.
0",90.0,0.10,-,-,-,-,0.18,0.02,-,-,100,serealia,olahan,8
Bika ambon,51.5,199,2.1,1.5,44.4,0.3,0.6,45,28,1.8,-,-,-,-,0,-,408,0.10,-,0.0,0,100,serealia,olahan,9
Bingka,44.4,273,5.3,10.6,39.1,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,10
Bobengka,46.3,225,5.3,2.6,45.2,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,11
Bolu peca,55.6,197,3.3,4.6,35.6,-,0.9,-,0,0.0,0,0.0,-,-,-,-,-,-,0.00,0.0,0,100,serealia,olahan,12
Brem,37.4,249,3.4,0.4,58.0,0.0,0.9,198,86,2.0,-,-,-,-,0,,240,0.34,0.00,0.0,0,100,serealia,olahan,
"Bubur tinotuan
(Manado)",80.9,156,2.3,0.2,15.6,8.2,1.0,41,20,0.4,486,164.0,0.30,0.4,-,1437,,0.10,0.04,,15,100,serealia,olahan,13
Cake tape,32.2,323,4.9,11.5,50.1,1.4,1.4,131,83,2.6,,,,,26,,1872,0.38,0.16,0.3,0,100,serealia,olahan,14
Cangkuning,57.5,204,2.8,7.5,31.4,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,15
Dodol bali,26.5,298,3.7,2.1,65.9,0.4,1.8,70,76,2.5,,,,,0,0,496,0.28,,2.5,0,100,serealia,olahan,
Dodol galamai,16.5,348,0.4,3.8,76.1,0.5,1.2,41,144,2.6,38,76.0,0.30,2.1,0,0,0,0.03,0.06,1.8,0,100,serealia,olahan,
Dodol kedondong,26.4,331,1.9,7.6,63.8,1.0,0.4,90,55,2.3,-,-,-,-,0,-,408,0.11,-,0.8,5,100,serealia,olahan,
Dodol manado,26.1,373,4.3,16.5,51.9,0.4,1.2,41,142,2.4,35,72.0,0.30,2.1,0,0,0,0.04,0.06,2.1,0,100,serealia,olahan,
Emping beras,13.6,403,10.6,2.2,85.3,0.2,1.9,11,240,0.3,1,113.0,0.30,2.4,-,-,0,0.00,0.16,-,0,100,serealia,olahan,
Gemblong,36.2,274,1.7,5.4,55.5,2.2,1.2,69,55,3.3,-,-,-,-,0,0,0,0.00,-,-,0,100,serealia,olahan,16
Gendar goreng,30.4,407,6.4,28.2,32.0,0.1,3.0,216,62,1.6,-,-,-,-,0,,184,0.16,0.00,0.6,0,100,serealia,olahan,17
Intip goreng,6.5,474,7.6,21.6,62.3,1.2,2.0,36,64,2.5,0,38.0,0.05,0.5,-,0,200,0.25,0.03,0.8,0,100,serealia,olahan,18
Jagung gerontol,61.7,156,2.7,1.3,33.3,1.0,0.8,51,105,1.2,-,-,-,-,0,-,162,0.08,0.00,0.0,0,100,serealia,olahan,19
Jagung titi,9.2,374,9.4,2.2,79.1,0.8,0.1,14,142,2.9,-,-,9.00,-,-,-,11507,0.20,-,-,-,100,serealia,olahan,
Japilus,3.8,500,1.2,25.1,67.3,0.4,2.7,186,29,4.9,-,-,-,-,0,-,0,0.17,0.03,0.4,0,100,serealia,olahan,
Kakicak,43.9,296,3.4,15.1,36.7,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,20
Kambose,61.5,164,3.0,2.4,32.6,4.3,0.7,16,36,0.7,0,32.0,0.10,1.6,0,256,-,0.10,0.10,0.4,-,100,serealia,olahan,
Kapusa,63.5,158,4.4,3.2,27.8,5.3,1.0,79,115,1.2,104,149.0,0.50,1.1,0,1374,-,0.06,0.05,0.1,0,100,serealia,olahan,
Keddo bodong,33.9,290,4.6,5.7,55.2,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,21
"Kelepon, kue",49.6,215,3.7,3.7,41.8,1.0,1.2,232,45,3.3,-,-,-,-,0,-,872,0.09,0.07,0.2,0,100,serealia,olahan,22
Kereput,3.5,580,4.8,39.6,51.1,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,
Ketoprak,69.1,153,7.9,7.7,13.0,2.9,2.6,153,134,3.4,-,-,-,-,3,-,435,0.05,-,-,0,100,serealia,olahan,23
Ketupat kandangan,78.5,109,2.2,5.2,13.4,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,24
Koya,13.2,366,4.2,4.3,77.5,0.8,0.8,153,222,7.0,-,-,-,-,0,-,-,-,-,-,0,100,serealia,olahan,25
Koya mirasa,7.2,370,8.0,1.0,82.2,0.4,1.6,83,110,"17.
0",-,-,-,-,3,-,144,0.19,0.45,2.6,0,100,serealia,olahan,
Koyabu,44.2,241,3.4,4.3,47.2,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,26
Kue ali,12.8,440,3.8,18.5,64.5,0.3,0.4,27,47,2.5,-,-,-,-,0,-,0,0.13,0.09,0.0,0,100,serealia,olahan,27
Kue bangen,5.6,442,3.3,14.7,74.2,-,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,
Kue gelang,7.1,448,5.8,16.1,70.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,28
Kue jahe,3.7,425,1.6,8.8,84.6,1.2,1.3,155,61,4.0,-,-,-,-,-,-,0,0.20,-,-,0,100,serealia,olahan,29
Kue kelapa,3.3,591,5.6,42.1,47.5,-,1.5,32,180,1.6,33,443.0,0.50,1.1,-,-,-,-,-,-,-,100,serealia,olahan,30
Kue koa,14.5,340,4.8,0.4,79.3,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,
Kue ku temu,46.2,214,3.5,0.2,49.6,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,31
Kue lumpur,40.1,291,3.6,11.1,44.1,-,1.1,96,60,2.3,-,-,-,-,20,-,400,0.24,-,-,-,100,serealia,olahan,32
Kue pelita,71.0,141,5.3,5.5,17.6,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,33
Kue putu cangkir,32.6,304,5.3,7.0,54.9,0.9,0.2,18,193,4.0,-,-,-,-,0,-,0,0.06,-,-,0,100,serealia,olahan,34
Kue sus,56.6,221,7.5,10.2,24.8,-,0.9,105,85,2.5,-,-,-,-,26,-,1300,0.12,-,-,0,100,serealia,olahan,35
Kue thipan,43.0,247,2.9,4.2,49.5,-,0.4,16,107,1.8,95,56.0,1.30,0.8,-,-,-,0.17,-,-,-,100,serealia,olahan,
Laksa/Putu mayang,73.2,121,1.7,3.4,21.1,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,36
Lapis legit,21.3,389,6.6,15.7,55.5,0.5,0.9,16,136,1.9,-,-,-,-,41,-,1032,0.26,0.09,3.0,0,100,serealia,olahan,37
Lupis ketan,61.0,164,1.8,2.1,34.5,0.7,0.6,119,31,1.5,-,-,-,-,0,-,0,0.09,0.00,0.2,0,100,serealia,olahan,38
Manan samin,27.1,379,3.4,18.1,50.6,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,39
Martabak india,65.8,153,4.5,4.2,24.3,-,1.2,14,108,2.4,240,112.0,0.40,0.5,-,-,-,-,-,-,-,100,serealia,olahan,40
Martabak mesir,40.2,278,5.1,8.6,45.0,-,1.1,49,168,3.4,193,123.0,0.20,0.9,-,-,-,-,-,-,-,100,serealia,olahan,41
Masekat,15.6,369,2.1,7.0,74.1,4.0,0.8,17,52,0.8,141,12.0,0.40,0.3,155,-,-,-,-,-,-,100,serealia,olahan,
Mie aceh rebus,74.6,113,3.0,3.2,18.1,-,1.1,22,44,1.4,191,36.0,0.20,0.3,0,0,-,0.00,0.00,0.0,0,100,serealia,olahan,42
Mie ayam,78.6,102,6.2,3.9,10.5,-,0.8,262,51,1.8,279,-,-,-,39,-,166,0.85,-,0.0,0,100,serealia,olahan,43
Mie bakso,74.5,114,5.3,3.0,16.4,0.1,0.8,286,53,1.9,760,-,-,-,17,-,180,0.16,-,-,0,100,serealia,olahan,44
Mie celon,75.9,102,3.0,2.1,17.8,-,1.2,12,84,1.4,451,112.0,0.10,0.5,0,0,-,0.00,0.00,0.0,0,100,serealia,olahan,45
Mie pangsit basah,79.2,105,5.9,4.9,9.4,-,0.7,208,48,2.0,530,-,-,-,25,-,620,0.46,-,-,0,100,serealia,olahan,46
Nasi gemuk,61.4,192,3.8,8.8,24.4,0.7,1.6,15,74,1.0,355,63.0,0.20,1.4,0,0,-,0.19,0.05,2.0,0,100,serealia,olahan,47
Nasi gurih,60.5,190,4.7,7.5,26.0,0.7,1.3,12,62,0.8,296,52.0,0.20,1.2,0,0,-,0.11,0.06,2.1,0,100,serealia,olahan,48
Nasi minyak,53.3,207,3.5,5.0,37.1,0.8,1.1,26,100,1.5,74,174.0,0.20,2.2,0,0,-,0.14,0.07,2.6,0,100,serealia,olahan,49
Nasi rames,65.8,155,10.3,4.2,19.1,-,0.6,239,62,1.8,265,-,-,-,96,-,3140,0.59,0.00,-,-,100,serealia,olahan,50
Nopia spesial,11.5,387,5.3,7.6,74.3,0.3,1.3,903,133,4.2,-,-,-,-,-,-,512,0.17,-,-,0,100,serealia,olahan,51
Onde-onde,27.7,336,4.0,9.8,57.9,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,52
Padamaran,67.6,171,3.9,8.9,18.8,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,53
Pastel,38.3,307,4.5,13.3,42.4,-,1.5,296,53,2.5,-,-,-,-,0,-,5360,0.15,-,-,0,100,serealia,olahan,54
Pulut,49.1,216,2.6,3.1,44.4,-,0.8,6,70,3.8,100,22.0,0.40,1.3,0,0,-,0.14,-,-,-,100,serealia,olahan,56
Pundut nasi,77.8,104,1.9,4.1,15.1,0.4,1.1,26,100,1.5,74,174.0,0.00,0.0,-,-,-,-,-,-,-,100,serealia,olahan,57
Putri hijau,54.8,189,5.4,2.1,37.2,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,58
Putri selat,66.6,163,2.2,6.5,23.8,-,0.9,72,3,4.0,6,68.0,-,-,0,0,-,-,-,-,-,100,serealia,olahan,59
Putu sopa,50.7,215,3.3,4.1,41.1,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,60
Renggi goreng,8.8,471,4.7,21.8,64.1,6.4,0.6,4,80,1.1,126,29.0,0.90,1.3,0,0,0,0.53,0.05,8.2,0,100,serealia,olahan,
Roti boong,34.0,341,5.5,16.2,43.3,-,1.0,15,65,1.1,161,41.0,-,0.9,-,-,-,0.40,0.30,2.4,0,100,serealia,olahan,61
"Roti warna sawo
matang",40.0,249,7.9,1.5,49.7,-,0.9,20,140,2.5,500,91.0,-,-,0,0,0,0.15,-,-,0,100,serealia,olahan,
Sarimuka,61.5,166,2.3,2.8,32.9,-,0.5,36,13,2.0,3,34.0,0.00,0.0,-,-,-,-,-,-,-,100,serealia,olahan,62
Spaghetti,66.1,139,7.4,2.1,22.6,-,2.1,109,53,4.7,-,-,-,-,42,-,940,0.35,-,-,0,100,serealia,olahan,
Srikaya ketan,41.0,265,2.7,6.4,49.1,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,63
Sunduk lawang,63.4,181,1.9,1.3,32.4,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,serealia,olahan,64
Suwir-suwir,13.4,347,0.5,0.9,84.2,0.8,1.0,42,40,4.3,-,-,-,-,1,-,240,0.13,-,0.9,0,100,serealia,olahan,
Tipa-tipa,11.3,355,6.2,1.2,79.8,1.3,1.5,17,328,1.6,-,-,-,-,0,0,0,0.26,0.04,1.5,0,100,serealia,olahan,
Wajit camilan,27.1,303,6.3,2.7,63.3,6.9,0.6,61,302,5.5,-,-,-,-,0,-,0,0.03,-,-,0,100,serealia,olahan,
Widaran,7.0,424,1.3,10.7,80.7,0.2,0.3,49,88,2.5,-,-,-,-,21,-,440,0.13,0.20,2.2,0,100,serealia,olahan,65
Wingko babat,29.7,355,3.2,15.1,51.4,2.4,0.7,47,63,1.1,-,-,-,-,0,-,0,0.08,0.08,0.0,0,100,serealia,olahan,66
Yangko,37.4,254,3.0,1.1,58.1,0.8,0.4,184,24,2.6,-,-,-,-,0,-,96,0.15,-,0.0,0,100,serealia,olahan,67
"Arrowroot, segar",73.5,102,1.0,0.2,24.1,1.7,1.2,28,35,1.7,36,626.6,0.20,0.8,0,15,0.0,0.06,0.10,2.3,2,100,umbi berpati,tunggal,
"Batatas gembili, segar",76.7,76,1.1,0.9,16.0,4.2,0.7,0,40,0.2,10,200.0,0.20,0.3,0,0,0.0,0.06,0.00,0.9,0,85,umbi berpati,tunggal,
"Batatas kelapa, ubi,
segar",76.1,89,1.1,0.1,21.0,4.0,0.7,0,40,0.2,20,340.0,0.10,0.2,0,0,0.0,0.38,0.00,0.9,0,85,umbi berpati,tunggal,
"Belitung, talas, segar",63.1,145,1.2,0.4,34.2,1.5,1.1,26,54,1.4,6,536.1,0.20,0.9,0,0,0.0,0.10,0.10,2.3,2,85,umbi berpati,tunggal,
"Bengkuang, segar",85.1,59,1.4,0.2,12.8,1.0,0.5,15,18,0.6,2,244.3,0.10,0.3,,0,,0.04,0.10,0.2,20,84,umbi berpati,tunggal,
"Bentul (Komba), talas,
segar",75.8,98,1.6,0.7,20.9,0.7,1.8,44,66,1.5,,195.5,0.20,0.6,0,0,0.0,0.02,0.10,0.8,0,86,umbi berpati,tunggal,
"Gadeng/Gadung,
kering",20.2,322,2.4,0.6,76.6,,0.2,39,22,2.2,5,2.0,0.50,0.2,0,0,0.0,0.45,0.02,1.0,0,100,umbi berpati,tunggal,
"Gadung, ubi, segar",74.4,100,0.9,0.3,23.5,2.1,0.9,79,66,0.9,8,687.2,0.20,0.2,0,0,0.0,0.23,0.00,0.5,2,85,umbi berpati,tunggal,
"Ganyong, segar",79.9,77,0.6,0.2,18.4,0.8,0.9,15,67,1.0,,,,,0,0,0.0,0.10,,,9,65,umbi berpati,tunggal,
"Gembili, ubi, segar",66.4,131,1.1,0.2,31.3,1.1,1.0,14,56,0.6,10,200.0,0.20,0.3,0,0,0.0,0.08,0.00,0.9,4,85,umbi berpati,tunggal,
"Hofa/Ubi hutan, segar",67.9,127,1.2,0.5,29.5,3.4,0.9,30,8,0.7,3,4.0,0.10,0.2,0,0,0.0,0.30,0.05,0.6,0,85,umbi berpati,tunggal,
"Kaburan, ubi, segar",66.5,133,1.0,0.2,32.2,0.7,0.5,65,50,0.6,10,899.2,0.20,0.2,0,0,0.0,0.01,0.00,0.3,0,81,umbi berpati,tunggal,
"Kentang, segar",83.4,62,2.1,0.2,13.5,0.5,0.8,63,58,0.7,7,396.0,0.40,0.3,0,0,0.0,0.09,0.10,1.0,21,85,umbi berpati,tunggal,
"Kentang hitam, segar",64.0,142,0.9,0.4,33.7,5.4,1.0,34,75,0.2,22,890.3,0.90,0.6,,0,,0.02,0.10,2.2,38,75,umbi berpati,tunggal,
"Keribang, ubi, segar",67.0,137,1.3,1.1,29.8,0.6,0.8,45,56,0.8,10,885.8,0.20,0.3,0,0,0.0,0.00,0.00,0.7,0,83,umbi berpati,tunggal,
"Ketela pohon/
singkong, segar",61.4,154,1.0,0.3,36.8,0.9,0.5,77,24,1.1,2,394.0,0.30,0.4,0,0,0.0,0.06,0.10,0.5,31,85,umbi berpati,tunggal,
Lepok/Ubi rumput,55.3,181,2.8,1.2,39.8,10.7,0.9,7,50,3.1,116,306.0,1.60,0.9,0,0,0.0,0.28,0.05,1.5,0,85,umbi berpati,tunggal,
"Sagu aren, kering",11.9,355,0.6,1.1,85.6,0.3,0.8,91,167,2.2,2,200.0,0.00,0.3,,,0.0,0.04,0.10,0.5,0,100,umbi berpati,tunggal,
"Sagu aren, segar",42.5,231,0.6,0.2,56.6,3.2,0.1,20,20,0.1,7,0.0,0.10,0.1,0,,0.0,0.20,0.00,0.0,0,100,umbi berpati,tunggal,
Sagu kasbi segar,42.5,230,0.6,0.2,56.5,3.0,0.2,20,1,0.3,100,410.0,0.10,0.2,0,0,0.0,0.10,0.00,0.0,0,100,umbi berpati,tunggal,
Sagu lempeng,13.5,347,0.9,0.3,85.2,4.7,0.1,30,30,0.2,11,0.0,0.10,0.1,0,0,,0.30,0.00,0.0,0,100,umbi berpati,tunggal,
"Sagu singkong, kering",12.0,362,0.5,0.3,86.9,,0.3,0,0,0.0,,,,,,0,0.0,0.00,,,0,100,umbi berpati,tunggal,
"Sente, talas, segar",14.0,353,0.7,0.2,84.7,6.6,0.4,11,13,1.5,30,694.6,0.60,2.2,,41,,0.05,0.20,2.8,5,86,umbi berpati,tunggal,
"Suweg, talas, segar",80.1,74,1.4,0.1,17.2,1.4,1.2,42,46,1.3,7,400.0,0.10,0.1,0,24,254.0,0.04,0.00,0.4,2,86,umbi berpati,tunggal,
"Talas bogor, segar",72.4,108,1.4,0.4,25.0,0.9,0.8,47,67,0.7,10,448.0,0.20,0.7,0,0,0.0,0.06,0.07,1.0,4,85,umbi berpati,tunggal,
"Talas pontianak, segar",60.0,163,2.3,0.5,36.4,0.7,0.9,45,80,1.7,14,323.1,0.30,1.0,0,0,0.0,0.02,0.10,1.3,,83,umbi berpati,tunggal,
"Talas viqueque, segar",70.6,115,1.8,0.5,25.9,8.6,1.2,50,220,0.9,1,70.0,0.30,1.0,0,0,0.0,0.08,0.10,0.9,,85,umbi berpati,tunggal,
"Ubi jalar, kuning, segar",72.6,119,0.5,0.4,25.1,4.2,1.0,30,40,0.4,3,1.0,0.10,0.2,0,794,4948.0,0.06,0.07,0.7,21,85,umbi berpati,tunggal,
"Ubi jalar manis, segar",78.4,83,1.5,0.2,18.8,0.6,1.1,27,162,2.1,52,320.7,0.10,0.3,0,0,0.0,0.02,0.00,0.4,0,85,umbi berpati,tunggal,
